问题/需求描述,附件,链接,相关人员,tag,描述性tag,分析和todo,社区todo,名字,声量,更新记录日期,备注,父记录
希望原生就能输出一个GUI OS 界面。,image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1438222099092209675,,S 信号,,,,,0,2025/11/12,,
LDAP 新理由,image.png,,cc @团队,S 信号,,,,ZimaFan,1,2025/11/12,,LDAP验证技术讨论
开机启动虚拟机的具体理由,image.png,https://community.zimaspace.com/t/auto-start-a-vm-iniciar-vm-en-automatico/6860/5,@Leo Chen,R 需求,虚拟机,,,lolero,1,2025/11/12,,虚拟机在开机后启动
在Files 中剪切，在目的地粘贴。在目的地选择跳过选项的时候，源文件依然被删除,image.png,https://community.zimaspace.com/t/files-app-issue-cut-paste/6901/2,@田依可,已定位/知晓,,已确认，152/153修复,,Khapra,1,2025/11/13,,
dashboard 不加载应用（用户称是docker API 的问题）,e3961466b5ca480bf49abd1798e95a08.png,http://微信群，DC 等,@Link,重要,,,,"Tn.,Supangkat Eka Prasetya, S.Kom,breakone9r,Gabi71,Martin Kotflotz,KNUX-03,فلافل",7,2025/11/13,,
Snap raid 催更的新理由： 可以在后期扩展RAID 1 的容量。（当前RAID 不可以）,image.png,https://community.zimaspace.com/t/raid1-disk-replacement-to-increase-capacity/6878,@Leo Chen,R 需求,,,,piranin,1,2025/11/14,,Mergerfs 和 SnapRAID 呼声 的 新人头
"在App 设置面板中，未能看到 GPU enable 选项

Jerry: 会修复这个问题",752e88f5625f186a4d5eb93cfec518854bc217c9.png,https://community.zimaspace.com/t/gpu-enable-option-missing-in-app-settings-panel-in-1-5-1/6898,@Jerry,已定位/知晓,,,,ASRTichy,1,2025/11/27,,
快照/诊断脚本V1 - gelbuilding,image.png,https://community.zimaspace.com/t/zimaos-premium-snapshot-script/6918,cc 团队,S 信号,,,,gelbuilding,1,2025/11/17,,
希望ZimaOS 提供类似的功能,image.png,https://community.zimaspace.com/t/this-would-help-both-users-and-staff/6935/,cc 团队,"S 信号, R 需求",,,,MjTech,1,2025/11/17,,
"喜欢理由和一些建议：

1. 实现磁盘空间监控系统（例如 WinDirStat）
2- ZimaOS 启动时能够自动启动虚拟机，可以选择启动哪些虚拟机，而不是全部虚拟机。
3- 使从操作系统内部实现 HTTPS 变得容易，证书管理自动处理，并且默认情况下为所有系统容器启用此选项。
4- 能够像共享文件夹一样共享整个磁盘和取消共享 ZimaOS-HD，这是一个很棒的功能。","DeBqj.jpg,image.png,image.png",https://community.zimaspace.com/t/auto-start-a-vm-iniciar-vm-en-automatico/6860/8,@Leo Chen cc 团队,"S 信号, R 需求",,,"windirstat 的理由
ZVM 启动了啥",lolero,1,2025/11/27,,
"断电约 1 分钟。系统重启后，所有已挂载的 USB 外置驱动器都被重命名，名称后缀为“-2”。

再次重启后，名称还能恢复。",3ed42baa936cada653b0042087a0fab6d85b6b89.png,https://community.zimaspace.com/t/all-usb-drives-with-re-mount-as-a-new-name/6912/3,@Rally,待/判断/中,,,,ac.crusade,1,2025/11/17,,
"初尝试 ZimaOS 就有功能建议：

1. ZimaOS 配置备份和恢复工具，可以将配置导出并导入到另一台 ZimaOS 设备。如果它也能支持 Docker 应用就更好了。
2 - NFS 的 GUI 集成（启动、停止、导出文件处理）。
3 - 一个兼容 rsync 的备份工具，用于将文件从一台 Zimaos NAS 备份到另一台。打造一台合适的备用设备。

4 - 备份docker 应用","image.png,image.png",https://community.zimaspace.com/t/features-request-zimaos-backup-standby-zima-nas-nfs-in-gui/6933/2,@Leo Chen,"S 信号, R 需求",,,,albator,1,2025/11/17,,
开机启动虚拟机,image.png,https://community.zimaspace.com/t/we-need-feedback-on-zvm/1881/29,@Leo Chen,R 需求,虚拟机,,,sny,1,2025/11/17,,虚拟机在开机后启动
"功能请求：

集成 Midnight Commander

原因是：",image.png,https://community.zimaspace.com/t/feature-request-mc-midnight-commander/6939/4,@Leo Chen,R 需求,,,,Harryd,1,2025/11/17,,
第七盘， 磁盘未能按照期望显示,6674035f3ec0b14b3a2b8395993fac1c2e2e2644.jpeg,https://community.zimaspace.com/t/nvmevm-2-ssd-stick-not-showing-in-web-ui/6967,"@Rally
@Dina（丁雯）",已定位/知晓,,第七盘错位，解决方法是删除local-storage.conf中的nvme值让系统接管,,blacksunix,1,2025/11/17,,
ZFS GUI,image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1439220273789534219,,R 需求,,,在哪里知道，get 的时候，Btrfs 和 RAID 构建的,,0,2025/11/17,,ZFS GUI 支持。快照支持。
U盘启动 ZimaOS的适配,image.png,https://community.zimaspace.com/t/recommandations-for-zimaos-running-from-a-usb-drive/6559/5,,R 需求,,,,vipper_666,1,2025/11/18,,
如果能实现快照功能，可能会让部分PVE 用户彻底转向 ZimaOS,image.png,https://community.zimaspace.com/t/recommandations-for-zimaos-running-from-a-usb-drive/6559/7,,S 信号,,,,vipper_666,1,2025/11/18,,
"电脑端Client

问题：很多时候都显示正在备份，仿佛卡住了。但目的位置文件大小和数量不变。

需求： 备份时间的可设置",image.png,https://community.zimaspace.com/t/how-do-zima-client-backups-work-in-detail/6845/6,"@Rally

@Leo Chen","重要, R 需求",,"看起来你的 C 盘/用户/所有者文件夹里有些文件无法成功备份，可能是因为文件权限不足，C 盘的所有者文件夹里包含了什么？

之后，我们将支持在权限不足的情况下备份这些文件，如果备份失败，也会显示那些未能通过备份的具体文件，并让您可以选择如何处理这些文件（例如：跳过/重试）。

客户端现有的备份逻辑是，如果文件未能备份，文件会被重新尝试，所以你会看到它始终处于备份状态。然后客户端备份会一直监听你的文件变更，一旦有文件变更，它会立即触发增量备份。其次，每天凌晨1点会自动执行增量备份，以防止遗漏备份（我们将优化至未在每天凌晨1点或每周一次的目录）",,wferrell54,1,2025/11/18,,
"ZimaOS 1.5.1

硬盘的休眠功能未按预期： 每30分钟，可能会唤醒2 秒钟。",image.png,https://community.zimaspace.com/t/disk-spindown-interuption-not-working-issue-still-exists/6999,@Rally,待/判断/中,,,,Less,1,2025/11/18,,
MOD 提供的系统备份的一个脚本，并建议我们实施。,image.png,https://community.zimaspace.com/t/tutorial-zimaos-backup-and-restore-using-usb-drive-shared-by-gelbuilding/7015,@田依可,"S 信号, R 需求",,,,gelbuilding,1,2025/11/19,,
"Btop 在1.5.1 和1.5.2beta2 出现不能工作的情况

单例",bf1245fcc2945696f6a9d478da63dfa9186c0c0b.jpeg,https://community.zimaspace.com/t/btop-does-not-work-in-1-5-1-on-hp-microserver-g7-amd-n40l-cpu/7019/2,@Rally,待/判断/中,,,,jlindeberg,1,2025/11/20,,
Files 中，容量显示问题。,image.webp,https://discord.com/channels/884667213326463016/1251135424303337524/1440035284904444056,@Rally,待/判断/中,,1.5.1 应该修了，如果没有那应该在1.5.2 beta 修了,,AWPAndreas,1,2025/11/20,"上次类似问题。

周计划",
从群晖转换到ZimaOS 的具体理由,image.png,https://community.zimaspace.com/t/nordvpn-setup-on-nas/7024/3,"@Leo Chen

cc

团队","S 信号, R 需求",,VPN 标准协议。,,macgneto,1,2025/11/20,,
用户认为，添加cp850 字符集，可以改进samba 在KDE 下的兼容性,image.png,https://community.zimaspace.com/t/not-a-zimaos-issue-but-kde-samba-shares-and-error-msg-dos-charset-cp850-unavailable-using-ascii/6455/5,@Leo Chen,"R 需求, 修复中",,,"@Jerry ：我们会尽快修复
",Harryd,1,2025/11/21,,
"1、子账户也能自己选用合适的云空间进行访问。
2、子账户也能往自己的云空间进行备份。",image.png,,"@Leo Chen
","R 需求, S 信号",,,,@albertgutierrez886,1,2025/11/21,,
https 端口 会被意外重置。,image.png,https://community.zimaspace.com/t/https-port-resets-each-restart/7042,@Rally,待/判断/中,,怀疑是该配置文件损坏,,DrMarlin,1,2025/11/21,,
"2. 系统自带的照片应用其实没必要，因为“文件”应用就能很好地显示照片。如果你想要更多功能，那就需要像 Immich 这样的应用。我安装 Immich 的时候也遇到了一些问题，不过最终还是成功运行了。
3. Mega 除了用于一些不法用途外，并没有太多其他用途。你可以手动安装 Mega 的 Docker 容器。我不建议 Zima 团队为 Mega 添加原生同步功能。云存储和同步方面有很多其他选择。
4. 我认为 Casa 商店和其他社区商店里的大多数应用都能开箱即用。你可能需要搜索一些资料来正确设置它们，或者根据你的特定需求进行设置。",image.png,https://community.zimaspace.com/t/option-i-wish-to-be-add-to-zimaos/7046/2,@Leo Chen,S 信号,,,在哪里知道fnos 的？保护一下,"goultron,snow2999",2,2025/11/21,,
1.5.2 beta3 无法保存头像,image.png,https://community.zimaspace.com/t/zimaos-1-5-2-beta3-unable-to-save-avatar/7059,@Jerry,待/判断/中,,,,Syko1,1,2025/11/24,,
Board 2 / emmc 用户看到了可以对系统盘分区进行存储创建的选项,image.png,https://discord.com/channels/884667213326463016/943513030497558598/1442088845557633075,"@Jerry

@Rally",重要,,这是zimaboard emmc的问题，我们在接口或者前端需要做一下过滤,,,0,2025/11/21,,
在存储空间计算方面，用户觉得困惑,image.png,https://community.zimaspace.com/t/zimaboard2-not-displaing-used-storage-correctly-in-dashboard/7065/2,@Leo Chen @Rally,已定位/知晓,,,,"mudithaliyanagama,ZiT69",2,2025/11/24,https://community.zimaspace.com/t/used-storage-not-displaying-right-amount/7070,在存储空间计算方面，用户觉得困惑
"Board 832 用户：

CasaOS 会显示27GB， ZimaOS 显示17.7 GB",38f132be0c270cbc3a6fb4e8921f0a8003f53901.png,https://community.zimaspace.com/t/fresh-install-of-zimaos-1-5-1-on-zimaboard-832-shows-emmc-storage-as-17-7-gb/7082,@Leo Chen,已定位/知晓,,,,mudithaliyanagama,1,2025/11/24,,在存储空间计算方面，用户觉得困惑
如果我创建了一个包含重要数据的双磁盘阵列（RAID 1），在将设备更新（重新刷写）到新操作系统后，我还能访问这些数据吗？,image.png,https://community.zimaspace.com/t/sharing-folders-and-files-with-other-users-over-the-internet-is-this-possible/7034/5,@Leo Chen,"S 信号, R 需求",,,,Serg,1,2025/11/24,,
支持添加iCould Drive 作为云盘,"image.png,image.png",https://community.zimaspace.com/t/native-icloud-drive-support-in-file-manager-external-sources-dropdown/7096,@Leo Chen,R 需求,,,,"MVvdV,dropn9ne,Piscopoe007",3,2025/11/24,,
无法配置我的 4 个以上的磁盘或 4 个以上的用户,image.png,https://community.zimaspace.com/t/can-not-user-create-over-4-disks-users/7114/,@Rally,重要,,"等待用户回复消息,用户未返回错误截图",,Nonurt,1,2025/11/25,用户未回复,
"小组件也能支持 AMD

btop 提供正确的温度和功耗数据，
但是 Ryzen 7 Pro 8845HS 在您的仪表盘窗口中将无法正确显示为受支持。",image.png,https://community.zimaspace.com/t/zima-os-1-5-2-beta-sensor-power-detection-temperatur-on-dashboard-ryzen-7-8845hs/7119,@Jerry,R 需求,,,,Aerokue,1,2025/11/26,,
"我会这样描述这个功能：它集成了 Google 云端硬盘共享空间（Google Workspace），而不仅仅是“我的云端硬盘”。

这是因为我有这样的需求/工作流程：备份整个 Google 云端硬盘。",image.png,https://community.zimaspace.com/t/googledrive-shared-spaces/7121/2,@Leo Chen,R 需求,,,,of87,1,2025/11/26,,
ZimaOS 更可靠，也更适合我的需求，尽管它缺少一些功能，例如默认的 AI 照片管理和 FTP 功能。ZimaOS 非常出色，而且通过它的移动应用，我可以远程访问我的文件——而 FNOS 需要注册一个中国手机号码才能实现这一点。ZimaOS 没有这个限制。它唯一的缺点是某些应用需要特殊的设置才能运行，而且我还在学习 Docker 的使用。此外，我还可以在 ZimaOS 上访问我的 Google Cloud，而 FNOS 直到最近才添加了这项功能。总而言之，我决定继续使用 ZimaOS，因为它功能强大，而且技术支持响应迅速。,image.png,https://community.zimaspace.com/t/option-i-wish-to-be-add-to-zimaos/7046/3,@Leo Chen,S 信号,,,,snow2999,1,2025/11/26,,"2. 系统自带的照片应用其实没必要，因为“文件”应用就能很好地显示照片。如果你想要更多功能，那就需要像 Immich 这样的应用。我安装 Immich 的时候也遇到了一些问题，不过最终还是成功运行了。
3. Mega 除了用于一些不法用途外，并没有太多其他用途。你可以手动安装 Mega 的 Docker 容器。我不建议 Zima 团队为 Mega 添加原生同步功能。云存储和同步方面有很多其他选择。
4. 我认为 Casa 商店和其他社区商店里的大多数应用都能开箱即用。你可能需要搜索一些资料来正确设置它们，或者根据你的特定需求进行设置。"
"在CLI 中，Docker 手动创建的网络，无法被其他container 选用。

Link: 这个需求还是很常见的。",50e5c6ab67b46c4bb19a59249ebacbd47644e5e2.png,https://community.zimaspace.com/t/bridge-network-does-not-allow-containers-to-talk-to-each-other/6910/20,"@Rally

@Jerry",待/判断/中,,,,"xaddict,psdl,gelbuilding,Zima-Giorgio",4,2025/11/27,,
ZimaOS webui 硬盘 温度和 CLI 不一致。,image.png,https://community.zimaspace.com/t/discrepancy-in-ssd-temperature-readings-zimaos-beta/7147,@Rally,待/判断/中,,,,delduca,1,2025/11/27,,
小组件，存储容量信息更新不及时。,"9a08ecd1cbaf6abec5d1c6307b504dcadb9b9356.png,1d322c0b089de7f04e89cca768b617de2c6d67a1.png",https://community.zimaspace.com/t/after-installing-new-hds-and-expanding-raid-system-still-says-there-arent-space-left/7146,@Leo Chen,R 需求,,,,victor,1,2025/11/27,,在存储空间计算方面，用户觉得困惑
如何将远程的Samba 目录，传递给Jellyfin？,image.png,https://community.zimaspace.com/t/help-zimaos-1-5-1-community-edition-how-to-work-with-remote-samba-shares/7151,@Leo Chen,"S 信号, R 需求",,,,f0xmuld3r,1,2025/11/27,,
可以在 ZimaOS 控制面板上的备份应用程序中选择 USB 驱动器作为备份目标位置。但您无法在 Zima 客户端桌面版的备份功能中进行此操作。,image.png,https://community.zimaspace.com/t/can-t-back-up-to-external-drives/7157/5,@Leo Chen,"已定位/知晓, 修复中",,,,lolero,1,2025/11/27,,
UPS 似乎未能按预期工作。,image.png,https://community.zimaspace.com/t/zimaos-1-5-2-release/7144/2,@Rally,待/判断/中,UPS,"待排查服务状态和按钮状态不一致问题,同上",,"Harryd,marco_28492",2,2025/11/27,,
mc 指令由于默认不能创建配置文件，目前在 root 下才能直接试用。用户反馈了改进方案 并期待改进。,image.png,https://community.zimaspace.com/t/feature-request-mc-midnight-commander/6939/12,@Jerry,"已定位/知晓, 修复中",,,,"gelbuilding,Harryd",2,2025/11/27,,
Gelbuilding 希望实现一个将系统盘 备份和恢复 的工具/教程。他想了解一些其他信息。Jerry 哥已经答疑，并回复了最简单，最迅速的方式就是dd,image.png,,@Jerry,已定位/知晓,,,,gelbuilding,1,2025/11/27,,
"在老iMac 上安装，也能让屏幕关闭。

用户反馈了 xset 或 dmps  工具",image.png,https://community.zimaspace.com/t/how-to-turn-off-imac-2012-screen/7135/3,@Jerry,"S 信号, R 需求",,,,rup,1,2025/11/28,,
共享整个 USB drive / U盘,image.png,https://community.zimaspace.com/t/located-can-t-use-zima-client-desktop-version-to-back-up-data-from-pc-to-the-usb-connected-drivers-on-zimaos/7157/7,@Leo Chen,R 需求,,,,lolero,1,2025/11/28,,
USB 硬盘也能运行容器。（迁移路径功能）,image.png,https://community.zimaspace.com/t/usb-hard-drive-is-not-recognized-as-main-system-storage/7167,@Leo Chen,R 需求,,,,JeHoBo,1,2025/11/28,,
问题同上。,image.png,https://community.zimaspace.com/t/how-to-set-my-usb-external-drive-as-a-windows-backup-drive/7170,@Leo Chen,"已定位/知晓, 修复中",,,,Mithrandir64,1,2025/11/28,,可以在 ZimaOS 控制面板上的备份应用程序中选择 USB 驱动器作为备份目标位置。但您无法在 Zima 客户端桌面版的备份功能中进行此操作。
1.5.2 中 文件数量显示 10000 （实际有7W）,93ab2364b649eb0237ecdf4de05716abd79b43d8.png,https://community.zimaspace.com/t/files-app-maximum-of-10-000-items-viewable/5239/6,@Rally,待/判断/中,,"已知问题,预计153",,jvaudio,1,2025/11/28,,
"关于yundera 流向中文群内这件事

起因：Cp 在寻找将CasaOS 包成Docker ，然后在其他发行版里面安装CasaOS，实现 用CasaOS 管理Docker 的目的。（比如在群晖，在Unraid）

探索发现项目已经实现：https://github.com/worph/casa-img

在项目中标注了赞助者是yundera",image.png,,cc 团队,S 信号,,,,Cp0204,1,2025/11/28,,
关机面板似乎依然存在 UI 问题。,image.png,https://community.zimaspace.com/t/zimaos-beta-1-5-2-not-shutting-down/7176/2,@Rally,待/判断/中,,,,dreadylock58,1,2025/11/28,,浏览器缓存导致的UI 异常。
在BIOS 系统上安装ZimaOS。 文章分享（获得授权）,,https://community.zimaspace.com/t/tutorial-how-to-install-zimaos-over-bios/7177/2,cc 团队,S 信号,,,,Albert Gutiérrez Muñoz,1,2025/11/28,,
喜欢ZimaOS的理由，建议,image.png,https://community.zimaspace.com/t/located-can-t-use-zima-client-desktop-version-to-back-up-data-from-pc-to-the-usb-connected-drivers-on-zimaos/7157/11,@Leo Chen,S 信号,,,,lolero,1,2025/11/28,,可以在 ZimaOS 控制面板上的备份应用程序中选择 USB 驱动器作为备份目标位置。但您无法在 Zima 客户端桌面版的备份功能中进行此操作。
UPS 未能按预期工作（但是在beta 中工作正常,image.png,https://community.zimaspace.com/t/zimaos-1-5-2-ups-management/7182,@Rally,待/判断/中,UPS,???问号文件问题,,Mich795,1,2025/12/01,,
显示已经成功，但界面上的开关未能正确显示,image.png,https://community.zimaspace.com/t/ups-doesnt-seem-work-properly-in-zimaos-1-5-2-release/7144/8,@Rally,待/判断/中,UPS,"待排查服务状态和按钮状态不一致问题,同上",,"blackoes,romeyde",2,2025/12/01,,
系统盘的存储空间异常,image.png,https://community.zimaspace.com/t/where-is-my-storage-space/7216,@Rally,已定位/知晓,,,,avexel,1,2025/12/02,,
UPS 失效,image.png,https://discord.com/channels/884667213326463016/1166619138521829396/1446416232864808993,@Rally,已定位/知晓,,已发版修复,,贵,1,2025/12/02,,
"ZimaOS 启动画面。(静默启动，展示Logo ，但不显示过多的命令）

传递友好和易用性的启动画面。

Plymouth
",image.png,https://community.zimaspace.com/t/feature-request-splash-screen-for-zimaos/7203,"@Leo Chen

@Jerry Liu","S 信号, R 需求",,,,t404owo,1,2025/12/02,"Plymouth

https://www.youtube.com/watch?v=h65n7Y3nq04
",
"回收站功能相关功能请求

1、特定文件夹，禁用回收站功能
2、回收站，按照条件清空：设置定时清空（X 天/周/月/年后清空）",image.png,https://community.zimaspace.com/t/disable-trash-feature-for-certain-folders/7208,@Leo Chen,R 需求,,,,"dropn9ne,recipe-farrow.4i",2,2025/12/01,,
官方增加对 Ugreen LED 控制器的原生支持,image.png,https://community.zimaspace.com/t/feature-request-native-integration-of-ugreen-leds-controller-for-ugreen-hardware/7227,"@Leo Chen

@Jerry Liu","R 需求, S 信号",,@Jerry Liu 后续计划支持 ZimaOS 的 mod 包，以便可以通过命令行安装。,,olife,1,2025/12/02,,
"需求：
1、特定文件夹，禁用回收站功能
2、回收站，按照条件清空：设置定时清空（X 天/周/月/年后清空）

背景：用户的 NVR（网络录像机） 使用 ZimaOS 的 SMB 来存储录像、截图与快照。且NVR 会自动删除旧的录像文件以释放空间。

问题：
NVR 删除大量录像导致回收站被疯狂塞满，用户体感Files页变卡、且需要用户不断手动清空。",image.png,https://community.zimaspace.com/t/disable-trash-feature-for-certain-folders/7208,@Leo Chen,"S 信号, R 需求",,smb服务下增加选项,,,0,2025/12/03,,
"ZimaOS 添加链路聚合

用户故事：用 ZimaOS 搭建一个媒体服务器（跑 Jellyfin 和一些虚拟机），会有多人同时访问。如果没有链路聚合，网络带宽可能会在多人访问时出现瓶颈；而链路聚合可以把多条网口的带宽叠加，让服务器在多人读写、视频编辑等高流量场景下更顺畅。",image.png,https://community.zimaspace.com/t/link-aggregation/7318,@Leo Chen,"S 信号, R 需求",,,,Miguel-Oops486,1,2025/12/04,,
升级到1.5.3后，RAID 无法自动挂载，需要手动挂,image.png,https://community.zimaspace.com/t/raid-storage-not-mounted-after-upgrade-to-1-5-3/7369,@Rally,已定位/知晓,,raid数据库 fs_type 的值大写，导致挂载失败,,badbadtz,1,2025/12/10,,
"
无法点击添加文件夹",image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1448967718513545227,@Rally,修复中,,已修复,,Jindosh,1,2025/12/10,,
Btop温度和小组件的温度显示不一致,img_v3_02t0_6c1709a7-9c41-4c8f-865d-dcc272b8a5bg.jpg,https://discord.com/channels/884667213326463016/1251135320825794640/1449737666974187632,@link,已定位/知晓,,原因：amd cpu的传感器获取方式不对,,,0,2025/12/13,,
DAS设备四个磁盘只识别三个，正在购买设备测试ing,image.png,https://community.zimaspace.com/t/not-seeing-all-hdds-in-external-das/7321,@Rally,待/判断/中,,,,pantonc,1,2025/12/12,,
"添加更多第三方云盘：
RaiDrive
iDrive（备份）",image.png,https://community.zimaspace.com/t/adding-raidrive-cli-to-zimaos/7397,@Jerry Liu,"S 信号, R 需求",,,,_paul3000,1,2025/12/12,,
ZB2支持 2FA set up,image.png,https://community.zimaspace.com/t/securing-zimaboard-2-2fa-setup-and-zerotier-vs-vpn-comparison/7316,@Leo Chen,"S 信号, R 需求",,,,rocky,1,2025/12/12,,
Samba 共享中，希望为“特定用户”提供读/写权限，但禁止其删除文件或文件夹。,image.png,https://community.zimaspace.com/t/samba-share-zimaos-specific-user-preventing-delete-with-read-write-access/7396,@Leo Chen,"S 信号, R 需求",,,,,0,2025/12/12,,
" ZimaOS能在Ultra 系列芯片上安装 X2",image.png,https://discord.com/channels/884667213326463016/1251135320825794640/1447326564499980389,@Jerry Liu,"S 信号, R 需求",,,,,0,2025/12/12,,
"ZimaCube 固件更新开启 ReBAR，让 Intel Arc GPU 能正常发挥性能

ps：ReBAR 是什么：
一种 PCIe 特性，让 CPU 能一次性访问全部 GPU 显存，对 Intel Arc GPU 来说几乎是“必需功能”。",image.png,https://discord.com/channels/884667213326463016/1249155433885732884/1451211035972206716,@Cain,R 需求,,,,,0,2025/12/16,,
ZimaBoard 2 在 BIOS 中增加对网络启动（PXE Boot）的支持,image.png,https://community.zimaspace.com/t/zimaboard-2-bios-network-boot-feature-requested/7417,@Cain,R 需求,,,,,0,2025/12/17,,
Google Drive 连接不稳定,img_v3_02t7_6c4026a5-b8c1-478a-abbb-276142311b9g.jpg,https://discord.com/channels/884667213326463016/1251135424303337524/1452394940356231209,@Link,待/判断/中,,,,,0,2025/12/17,,
"备份 docker 文件失败 X2

本质上用户想要备份整个docker应用，包含：compose文件+真实数据+App data+安装包（非必要）",img_v3_02t2_13d36b3a-7928-4522-be01-36c29c9f7b1g.jpg,,@Rally,"S 信号, 已定位/知晓",,,,,0,2025/12/20,,
添加Intel ARC A310 GPU，无法启动ZimaOS,image.png,https://community.zimaspace.com/t/zimaos-initialization-failure-after-added-gpu/7487,@Jerry,待/判断/中,,,,,0,2025/12/19,,
" Zima App未正确适配屏幕
Pixel 10 Pro XL","image.png,image.png,image.png",https://discord.com/channels/884667213326463016/1251135424303337524/1451435593073426516,@田依可,已定位/知晓,,,,,0,2025/12/19,,
添加 iGPU / GPU 使用情况小组件，转码有需求,image.png,https://community.zimaspace.com/t/add-igpu-gpu-usage-next-to-cpu-ram/7568,@Jerry,"S 信号, R 需求",,,,,0,2025/12/24,,
"第七盘显示不正确 X2

原因：index逻辑有问题
","img_v3_02t8_7107c98d-ae23-45aa-b0c4-f51eb2e5f87g.jpg,image.png",https://discord.com/channels/884667213326463016/1249155433885732884/1452686561375158485,@Rally,已定位/知晓,,,,,0,2025/12/25,,
"忘记用户名密码，且忘记root密码

已解决：进救援模式删除用户数据库文件",,http://邮件,@Rally,已定位/知晓,,,,,0,2025/12/25,,
"ZimaOS1 的 RAID 装到ZimaOS2 上，希望自动识别并启用 

用户故事：我的ZimaOS1坏了，我重装了ZimaOS ，我想在新的ZimaOS上用我旧的RAID",image.png,https://github.com/IceWhaleTech/ZimaOS/issues/180,@Leo Chen,"S 信号, R 需求",,,,,0,2025/12/25,,
"将ZimaOS 出现在  location中

用户故事：我觉得这样更方便。QNAP是可以的。而且，图标的显示也更容易区分哪个是 ZimaCube 的 IP 地址，哪个是 SMB IP 地址。
它不需要登录或设置，因为它直接使用应用程序中的信息。So easy for new users","image.png,image.png",http://私信,@田依可,"S 信号, R 需求",,,,,0,2025/12/25,,
ZVM在HTTPS 下无法启动,image.png,https://discord.com/channels/884667213326463016/1251135390203777124/1456498669019729971,@Jerry Liu,已定位/知晓,,,,,0,2025/12/30,,
mt7925 网卡驱动,,https://community.zimaspace.com/t/driver-wi-fi-mediatek-not-work/7293/6,@Jerry Liu,R 驱动需求,,已添加,,,0,2025/12/30,,
请求内核升级到6.18，实现更多的硬件兼容,image.png,https://community.zimaspace.com/t/6-18-kernel-version-for-broader-hardware-compatibility/7726,@Jerry Liu,S 信号,,,,,0,2026/01/04,,
手机端APP下载照片，不知道下到哪里了,screen-20260103-175906.mp4,http://私信,@田依可,已定位/知晓,,,,,0,2026/01/04,,
"重启ZB2时，SMB服务需要重新挂载

现状",image.png,https://community.zimaspace.com/t/problem-with-smb-shares/7727,@Leo Chen,"S 信号, 已定位/知晓",,今年会添加更多的文件服务协议：虚拟盘同步盘那种网盘体验的功能，会用http或者私有协议,,,0,2026/01/04,,
"ZimaBlade通电后指示灯亮，但无视频信号输出
案例 X4，最近频率高","image.png,image.png",https://discord.com/channels/884667213326463016/1146850558515351582/1457153033778499645,@Cain,待/判断/中,,,,,0,2026/01/04,,
"加密文件夹产品反馈：
两个人问不知道入口在哪里？",img_v3_02tp_3a9022b4-88f7-438b-97a8-69b4d112588g.jpg,http://邮件+私信,@Leo Chen,反馈,文件加密,,,,0,2026/01/05,,
"能不能做到加密现有文件夹？ X1
当前数据也很重要，现在只能复制粘贴",,http://私信,@Leo Chen,"R 需求, 反馈",文件加密,,,,0,2026/01/05,,
"现象：加密文件夹无法删除
原因：该用户不知道该文件夹处于smb共享中，所以没有删除按钮，预期释放删除按钮并加提示


",image.png,https://community.zimaspace.com/t/encrypted-folder-the-first-alpha-feature-test-recruitment-on-the-zimaos-software-defined-storage-sds-roadmap/7791/4,@Leo Chen,反馈,文件加密,,,,0,2026/01/06,,
当前只能在网页里的files解锁，无法在手机上、SMB上，或者其他地方,image.png,https://community.zimaspace.com/t/encrypted-folder-the-first-alpha-feature-test-recruitment-on-the-zimaos-software-defined-storage-sds-roadmap/7791/4,@Leo Chen,反馈,文件加密,,,,0,2026/01/06,,
SMB 锁定提示不足：锁定状态下文件夹显示为空，虽安全但界面上缺乏明确的“已锁定”提示，容易被误认为异常或损坏。,image.png,https://community.zimaspace.com/t/encrypted-folder-the-first-alpha-feature-test-recruitment-on-the-zimaos-software-defined-storage-sds-roadmap/7791,@Leo Chen,反馈,文件加密,,,,0,2026/01/06,,
"有一个共享目录
好几个人都有权限（比如家人 / 同事）
他在里面建了一个“加密文件夹”
只要他自己一解锁
那么：
其他所有有共享权限的人
都能通过 SMB 直接看到、复制、删除里面的东西
失去了加密的意义

tips：154可以取消共享整个目录",,https://community.zimaspace.com/t/encrypted-folder-the-first-alpha-feature-test-recruitment-on-the-zimaos-software-defined-storage-sds-roadmap/7791/4,@Leo Chen,反馈,文件加密,,,,0,2026/01/06,,
"是否可以通过 脚本 / CLI / API 解锁加密文件夹
 这样就可以ssh解锁，无需必须打开UI",image.png,https://community.zimaspace.com/t/encrypted-folder-the-first-alpha-feature-test-recruitment-on-the-zimaos-software-defined-storage-sds-roadmap/7791/4,@Leo Chen,"R 需求, 反馈",文件加密,,,,0,2026/01/07,,
上锁需要点两下，不方便,image.png,http://私信,@Leo Chen,反馈,文件加密,,,,0,2026/01/07,,
手机App添加重启机器功能,image.png,https://community.zimaspace.com/t/mobile-app-extra-features/7856,@田依可,R 需求,手机App,,,,0,2026/01/10,,
